,Unnamed: 0.1,Country,Value
0,0,Nigeria,1628030
1,1,Egypt,877498
2,2,South Africa,579592
3,3,Ethiopia,350693
4,4,Tanzania,332802
5,5,Sudan,301584
6,6,Ghana,295004
7,7,Uganda,278421
8,8,Morocco,271821
9,9,Kenya,256872
10,10,Cameroon,197670
11,11,Angola,195499
12,12,Algeria,188650
13,13,C̫te d'Ivoire,182486
14,14,Mozambique,157584
15,15,Malawi,153717
16,16,Madagascar,133071
17,17,Burkina Faso,100129
18,18,Rwanda,95174
19,19,Tunisia,92713
20,20,Mali,92292
21,21,Benin,88072
22,22,Niger,86808
23,23,Zambia,82701
24,24,Zimbabwe,73316
25,25,Guinea,66848
26,26,Swaziland,62665
28,28,Senegal,49414
29,29,Sierra Leone,47737
30,30,Chad,45078
31,31,Togo,32155
32,32,Congo,25791
33,33,Central African Rep.,24921
34,34,Liberia,14657
35,35,Namibia,14197
36,36,Gabon,13566
37,37,Mauritania,10039
38,38,Guinea-Bissau,7296
39,39,Botswana,4808
40,40,Gambia,4699
41,41,Lesotho,3785
42,42,Cape Verde,1658
43,43,Ṣo Tom̩ and Principe,1152
