Country,Value
Egypt,34580
Tunisia,33055
Morocco,32967
Algeria,31118
Mauritius,30543
South Africa,29629
Ghana,29180
Cote d'Ivoire,27666
Mali,27502
Mauritania,27443
Gabon,27299
Nigeria,26988
Burkina Faso,26072
Gambia,25695
Lesotho,25588
Cabo Verde,25514
Benin,25378
Guinea,25180
Niger,25024
Cameroon,24603
Sao Tome and Principe,24462
Djibouti,24165
Senegal,23784
Togo,23339
Sudan,23238
Swaziland,23171
Guinea-Bissau,22963
Malawi,22925
Angola,22556
Sierra Leone,22291
Botswana,22263
Uganda,22205
Liberia,21827
Mozambique,21702
Namibia,21602
United Republic of Tanzania,21550
Congo,21530
Kenya,21453
Rwanda,21309
Zimbabwe,21209
Central African Republic,20719
Madagascar,20608
Chad,20511
Ethiopia,20292
Zambia,18701
